,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country,author_id,citation,google_scholar_link
61,Wenjie Jacky Mo,Rethinking backdoor detection evaluation for language models,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,University of California,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States,7hvu1ZQAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=7hvu1ZQAAAAJ&hl=en
62,Shuofei Qiao,Llms for knowledge graph construction and reasoning: Recent capabilities and future opportunities,The rise and potential of large language model based agents: A survey,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China,4DRltuEAAAAJ,"Science China Information Sciences 68 (2), 121101, 2025",https://scholar.google.com/citations?user=4DRltuEAAAAJ&hl=en
63,Xuebo Liu,Improving attributed text generation of large language models via preference learning,Secrets of rlhf in large language models part i: Ppo,Harbin Institute of Technology,45.741589,126.6255626,,Harbin,Heilongjiang,China,XkDl9aoAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=XkDl9aoAAAAJ&hl=en
64,Ali Payani,Large vision-language model alignment and misalignment: A survey through the lens of explainability,Unraveling cross-modality knowledge conflicts in large vision-language models,Cisco Systems,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States,9rHwD8wAAAAJ,"arXiv preprint arXiv:2410.03659, 2024",https://scholar.google.com/citations?user=9rHwD8wAAAAJ&hl=en
65,Nenghai Yu,"A survey of safety on large vision-language models: Attacks, defenses and evaluations",Unraveling and mitigating safety alignment degradation of vision-language models,University of Science,42.0279608,-93.6447375,Story County,Ames,Iowa,United States,7620QAMAAAAJ,"arXiv preprint arXiv:2410.09047, 2024",https://scholar.google.com/citations?user=7620QAMAAAAJ&hl=en
66,Qi Zhang (张奇),Learning implicit sentiment in aspect-based sentiment analysis with supervised contrastive pre-training,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,"Professor of Computer Science, Fudan University",22.8916128,113.4790189,,Nansha District,Guangdong Province,China,XfqR3yYAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=XfqR3yYAAAAJ&hl=en
67,Jirayu Burapacheep,Args: Alignment as reward-guided search,Secrets of rlhf in large language models part i: Ppo,Stanford University,37.4313138,-122.1693654,Santa Clara County,,California,United States,WRZ91QEAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=WRZ91QEAAAAJ&hl=en
68,Bo Li,Mme-survey: A comprehensive survey on evaluation of multimodal llms,Muirbench: A comprehensive benchmark for robust multi-image understanding,University of Illinois at Urbana–Champaign,40.0906292,-88.176418,Champaign County,Urbana,Illinois,United States,K8vJkTcAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=K8vJkTcAAAAJ&hl=en
69,Ganqu Cui,Ultrafeedback: Boosting language models with scaled ai feedback,Secrets of rlhf in large language models part i: Ppo,Shanghai AI Lab,42.35092,-71.0783603,Suffolk County,Boston,Massachusetts,United States,3IVSzZgAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=3IVSzZgAAAAJ&hl=en
70,Haiyan Zhao,Large vision-language model alignment and misalignment: A survey through the lens of explainability,Unraveling cross-modality knowledge conflicts in large vision-language models,Peking University,40.1733653,116.15722,,Changping District,Beijing,China,z0bu0kIAAAAJ,"arXiv preprint arXiv:2410.03659, 2024",https://scholar.google.com/citations?user=z0bu0kIAAAAJ&hl=en
71,Jie Zhang (张杰),"A comprehensive survey in llm (-agent) full stack safety: Data, training and deployment",Securing Multi-turn Conversational Language Models From Distributed Backdoor Attacks,CFAR,3.0394855,101.7941135,,Kajang Municipal Council,Selangor,Malaysia,7YkR3CoAAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 12833 …, 2024",https://scholar.google.com/citations?user=7YkR3CoAAAAJ&hl=en
72,Sebastian Gehrmann,Nl-augmenter: A framework for task-sensitive natural language augmentation,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,CTO Office,20.4774783,85.883665,Cuttack (M.Corp.) P.S,Cuttack,Odisha,India,x6KQCV8AAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=x6KQCV8AAAAJ&hl=en
73,Chaowei Xiao,Combating security and privacy issues in the era of large language models,From shortcuts to triggers: Backdoor defense with denoised poe,University of Wisconsin - Madison/NVIDIA,22.3044867,114.1796935,,Kowloon,Hong Kong,China,Juoqtj8AAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=Juoqtj8AAAAJ&hl=en
74,Dongyuan Li,A Call for Collaborative Intelligence: Why Human-Agent Systems Should Precede AI Autonomy,Llms assist nlp researchers: Critique paper (meta-) reviewing,The University of Tokyo,35.9019845,139.9362233,,Kashiwa,,Japan,Pgo9ZZ0AAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=Pgo9ZZ0AAAAJ&hl=en
75,Jiasi Shen,A survey on large language models for code generation,The rise and potential of large language model based agents: A survey,The Hong Kong University of Science and Technology (HKUST),22.3380111,114.2631024,,Sai Kung District,Hong Kong,China,pyLCHy0AAAAJ,"Science China Information Sciences 68 (2), 121101, 2025",https://scholar.google.com/citations?user=pyLCHy0AAAAJ&hl=en
76,Boxin Wang,Adversarial glue: A multi-task benchmark for robustness evaluation of language models,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,NVIDIA,45.5344957,-122.886274,Washington County,Hillsboro,Oregon,United States,YOf2ATIAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=YOf2ATIAAAAJ&hl=en
