rank,university_name,country
201-757,University of York,United Kingdom
201-981,Vienna University of Technology,Country_AT
201-403,Virginia Polytechnic Institute and State University,United States
201-057,Wuhan University of Technology,China
301-333,Aalborg University,Country_DK
301-778,Albert Einstein College of Medicine,United States
301-808,Anhui University,China
301-339,Autonomous University of Barcelona,Country_ES
301-339,Autonomous University of Madrid,Country_ES
301-902,Ben-Gurion University of the Negev,Country_IL
301-177,Brandeis University,United States
301-777,Chalmers University of Technology,Country_SE
301-143,Charles University,Country_CZ
301-670,China University of Petroleum (East China),China
301-570,Colorado State University,United States
301-494,Complutense University of Madrid,Country_ES
301-743,Dalhousie University,Canada
301-420,Dartmouth College,United States
301-233,Ecole Normale Superieure - Lyon,France
301-702,Eindhoven University of Technology,Netherlands
301-152,Florida State University,United States
301-028,Fujian Medical University,China
301-644,Fuzhou University,China
301-525,George Washington University,United States
301-660,Griffith University,Australia
301-703,Guangdong University of Technology,China
301-784,Guangxi University,China
301-874,Guangzhou Medical University,China
301-218,Henan University,China
301-999,Jiangnan University,China
301-186,Jiangsu University,China
301-484,Jinan University,China
301-573,Karlsruhe Institute of Technology (KIT),Germany
301-780,Kunming University of Science and Technology,China
301-727,Kyung Hee University,Country_KR
301-613,La Trobe University,Australia
301-208,Lancaster University,United Kingdom
301-193,Laval University,Canada
301-179,Linkoping University,Country_SE
301-803,Maastricht University,Netherlands
301-836,Nanchang University,China
301-873,Nanjing Tech University,China
301-567,Nanjing University of Information Science & Technology,China
301-567,Nanjing University of Posts and Telecommunications,China
301-631,Ocean University of China,China
301-003,Paul Sabatier University (Toulouse 3),France
301-933,Pohang University of Science and Technology,Country_KR
301-029,Polytechnic University of Milan,Italy
301-554,Pompeu Fabra University,Country_ES
301-207,Princess Nourah bint Abdulrahman University,Country_SA
301-712,Qingdao University,China
301-290,Queen's University Belfast,United Kingdom
301-560,Queensland University of Technology,Australia
301-344,Renmin University of China,China
301-834,RMIT University,Australia
301-326,ShanghaiTech University,China
301-940,South China Agricultural University,China
301-529,Southwest Jiaotong University,China
301-807,Stony Brook University,United States
301-614,The University of Georgia,United States
301-836,Ulsan National Institute of Science and Technology,Country_KR
301-456,University College Cork,Country_IE
301-511,University College Dublin,Country_IE
301-122,University of Alabama at Birmingham,United States
301-649,University of Antwerp,Country_BE
301-495,University of Cincinnati,United States
301-003,University of Duisburg-Essen,Germany
301-272,University of Dundee,United Kingdom
301-101,University of East Anglia,United Kingdom
301-620,University of Florence,Italy
301-283,University of Genoa,Italy
301-937,University of Granada,Country_ES
301-472,University of Hawaii at Manoa,United States
301-782,University of Iowa,United States
301-373,University of Kansas,United States
301-550,University of Kentucky,United States
301-263,University of Leicester,United Kingdom
301-319,University of Macau,Country_MO
301-323,University of Manitoba,Canada
301-440,University of Marburg,Germany
301-746,University of Miami,United States
301-394,University of Milano-Bicocca,Italy
301-200,"University of Nebraska, Lincoln",United States
301-893,University of Notre Dame,United States
301-234,University of Potsdam,Germany
301-597,University of Shanghai for Science and Technology,China
301-178,University of Southern Denmark,Country_DK
301-479,University of St Andrews,United Kingdom
301-602,University of Stuttgart,Germany
301-529,University of Tasmania,Australia
301-349,University of the Basque Country,Country_ES
301-666,University of Trento,Italy
301-783,University of Ulm,Germany
301-428,University of Victoria,Canada
301-739,University of Wollongong,Australia
301-595,Virginia Commonwealth University,United States
301-058,Vrije Universiteit Brussel,Country_BE
301-687,Western Sydney University,Australia
301-764,Western University,Canada
301-575,Westlake University,China
301-107,Xidian University,China
301-766,Yangzhou University,China
301-980,Yunnan University,China
301-001,Zhejiang University of Technology,China
401-206,Aalto University,Country_FI
401-096,Anhui Medical University,China
401-691,Cairo University,Country_EG
401-206,Catholic University of the Sacred Heart,Italy
401-254,China Medical University (Taichung),Country_TW
401-670,China University of Geosciences Beijing,China
401-670,China University of Mining and Technology,China
401-382,CUNY Graduate School and University Center,United States
401-636,Donghua University,China
401-669,Flinders University,Australia
401-548,Fujian Agriculture and Forestry University,China
401-460,Georgetown University,United States
401-388,Guangzhou University,China
401-233,Guizhou University,China
401-496,Hainan University,China
401-689,Hannover Medical School,Germany
401-413,Hefei University of Technology,China
401-923,Hiroshima University,Japan
401-987,Hohai University,China
401-753,"Indiana University, Indianapolis",United States
401-249,Iowa State University,United States
401-123,James Cook University,Australia
401-780,King Khalid University,Country_SA
401-701,Kyungpook National University,Country_KR
401-129,Leibniz University Hannover,Germany
401-226,"Louisiana State University, Baton Rouge",United States
401-190,Macau University of Science and Technology,Country_MO
401-705,Masaryk University,Country_CZ
401-838,Medical University of Graz,Country_AT
401-838,Medical University of Innsbruck,Country_AT
401-303,Nanjing Normal University,China
401-567,Nanjing University of Chinese Medicine,China
401-659,National Cheng Kung University,Country_TW
401-997,National Tsing Hua University,Country_TW
401-637,National University of Defense Technology,China
401-777,National Yang Ming Chiao Tung University,Country_TW
401-297,Ningbo University,China
401-670,Northwest University,China
401-839,Okinawa Institute of Science and Technology Graduate University,Japan
401-111,Osaka Metropolitan University,Japan
401-029,Polytechnic University of Valencia,Country_ES
401-083,Pusan National University,Country_KR
401-274,Saarland University,Germany
401-988,Sao Paulo State University,Country_BR
401-769,Sejong University,Country_KR
401-622,Simon Fraser University,Canada
401-344,South China Normal University,China
401-007,Southwest University,China
401-027,St Petersburg University,Country_RU
401-286,Stellenbosch University,Country_ZA
401-022,Swedish University of Agricultural Sciences,Country_SE
401-440,Technical University Darmstadt,Germany
401-053,Tehran University of Medical Sciences,Country_IR
401-083,Temple University,United States
401-666,"The Chinese University of Hong Kong, Shenzhen",China
401-889,"The University of Newcastle, Australia",Australia
401-548,The University of Reading,United Kingdom
401-478,The University of Texas at Dallas,United States
401-053,Toulouse Capitole University,France
401-514,Umea University,Country_SE
401-928,University of Aveiro,Country_PT
401-107,University of Bari,Italy
401-409,University of Bath,United Kingdom
401-049,University of Bayreuth,Germany
401-169,University of Belgrade,Country_RS
401-855,University of Campinas,Country_BR
401-241,University of Canterbury,Country_NZ
401-409,University of Central Florida,United States
401-639,University of Côte d'Azur,France
401-321,University of Essex,United Kingdom
401-751,University of Illinois Chicago,United States
401-127,University of Jena,Germany
401-658,University of Kent,United Kingdom
401-255,University of Konstanz,Germany
401-034,University of Liege,Country_BE
401-246,University of Lille,France
401-207,"University of Maryland, Baltimore",United States
401-624,"University of Oklahoma, Norman",United States
401-352,University of Otago,Country_NZ
401-403,University of Oulu,Country_FI
401-210,University of Pavia,Italy
401-966,University of Regensburg,Germany
401-218,University of Rennes,France
401-207,University of Rome Tor Vergata,Italy
401-549,University of Saskatchewan,Canada
401-960,University of Seville,Country_ES
401-920,University of South Australia,Australia
401-920,"University of South Carolina, Columbia",United States
401-920,University of South Florida,United States
401-620,University of Surrey,United Kingdom
401-955,University of Szeged,Country_HU
401-818,University of Tehran,Country_IR
401-300,University of Turku,Country_FI
401-901,University of Vermont,United States
401-976,University of Verona,Italy
401-415,University of Warsaw,Country_PL
401-734,Victoria University of Wellington,Country_NZ
401-209,Vita-Salute San Raffaele University,Italy
401-295,Washington State University,United States
401-579,Wenzhou Medical University,China
501-381,Alexandria University,Country_EG
501-212,Aristotle University of Thessaloniki,Country_GR
501-715,Auburn University,United States
501-662,Bangor University,United Kingdom
501-316,Bar-Ilan University,Country_IL
501-690,Beijing Jiaotong University,China
501-386,Boston College,United States
501-768,Carleton University,Canada
501-311,Central China Normal University,China
501-839,Changzhou University,China
501-670,"China University of Petroleum, Beijing",China
501-532,Chongqing Medical University,China
501-309,Drexel University,United States
501-516,Eotvos Lorand University,Country_HU
501-956,Federal University of Minas Gerais,Country_BR
501-956,Federal University of Rio de Janeiro,Country_BR
501-048,Fujian Normal University,China
501-632,Hangzhou Dianzi University,China
501-020,Hangzhou Normal University,China
501-268,Harbin Engineering University,China
501-344,Hebei University,China
501-216,Hebei University of Technology,China
501-928,Indian Institute of Science,Country_IN
501-688,Istanbul University,Country_TR
501-243,Jagiellonian University,Country_PL
501-856,Jiangsu University of Science and Technology,China
501-395,King Abdulaziz University,Country_SA
501-906,Kobe University,Japan
501-538,Medical College of Wisconsin,United States
501-838,Medical University of South Carolina,United States
501-159,Murdoch University,Australia
501-842,Nanjing Forestry University,China
501-291,National and Kapodistrian University of Athens,Country_GR
501-286,National Polytechnic Institute,Country_MX
501-540,National Sun Yat-Sen University,Country_TW
501-031,North China Electric Power University,China
501-333,Northeast Agricultural University,China
501-594,Northeast Normal University,China
501-351,Northern Arizona University,United States
501-739,Okayama University,Japan
501-209,Pontifical Catholic University of Chile,Country_CL
501-977,Qatar University,Country_QA
501-077,Saint Louis University (USA),United States
501-057,San Diego State University,United States
501-020,Shaanxi Normal University,China
501-770,Shandong Agricultural University,China
501-616,Shandong University of Science and Technology,China
501-723,Shanxi University,China
501-803,Tampere University,Country_FI
501-943,Texas Tech University,United States
501-731,The City College of New York,United States
501-889,"The University of New Mexico, Albuquerque",United States
501-478,The University of Texas Health Science Center at San Antonio,United States
501-478,The University of Texas Medical Branch at Galveston,United States
501-114,Tianjin Medical University,China
501-232,Tulane University,United States
501-381,UiT The Arctic University of Norway,Country_NO
501-118,"University at Buffalo, the State University of New York",United States
501-519,University of Arkansas at Fayetteville,United States
501-579,University of Bremen,Germany
501-493,"University of California, Merced",United States
501-836,University of Campania Luigi Vanvitelli,Italy
501-903,University of Catania,Italy
501-448,University of Chile,Country_CL
501-182,University of Coimbra,Country_PT
501-823,University of Fribourg,Switzerland
501-662,University of Galway,Country_IE
501-686,University of Giessen,Germany
501-989,University of Guelph,Canada
501-257,University of Halle-Wittenberg,Germany
501-795,University of Johannesburg,Country_ZA
501-316,University of Ljubljana,Country_SI
501-197,University of Luebeck,Germany
501-865,University of Maine,United States
501-607,University of Minho,Country_PT
501-193,University of Nantes,France
501-779,University of Navarra,Country_ES
501-680,"University of Nevada, Las Vegas",United States
501-680,"University of Nevada, Reno",United States
501-669,University of Oregon,United States
501-955,University of Parma,Italy
501-411,University of Perugia,Italy
501-255,University of Pretoria,Country_ZA
501-132,University of Rostock,Germany
501-372,University of Salamanca,Country_ES
501-391,University of Santiago Compostela,Country_ES
501-068,University of Tartu,Country_EE
501-280,University of Twente,Netherlands
501-977,University of Ulsan,Country_KR
501-602,University of Zaragoza,Country_ES
501-655,Utah State University,United States
501-401,Vellore Institute of Technology,Country_IN
501-017,Vilnius University,Country_LT
501-851,Wake Forest University,United States
501-332,Wenzhou University,China
501-113,West Virginia University,United States
501-426,Xi'an University of Technology,China
501-550,Yanshan University,China
501-509,Yeungnam University,Country_KR
501-504,Zhejiang Sci-Tech University,China
601-195,Addis Ababa University,Country_ET
601-533,Ain Shams University,Country_EG
601-469,Air Force Medical University,China
601-502,Australian Catholic University,Australia
601-825,Baylor University,United States
601-951,Beijing Forestry University,China
601-798,Beijing Technology and Business University,China
601-409,Binghamton University,United States
601-288,Brescia University,Italy
601-575,Brunel University London,United Kingdom
601-931,Chang Gung University,Country_TW
601-810,Chang'an University,China
601-526,Chengdu University of Technology,China
601-182,Chiba University,Japan
601-254,China Medical University (Shenyang),China
601-670,China University of Mining and Technology-Beijing,China
601-039,Chonnam National University,Country_KR
601-393,Chulalongkorn University,Country_TH
601-979,Clemson University,United States
601-789,Colorado School of Mines,United States
601-917,Concordia University,Canada
601-605,Dalian Maritime University,China
601-914,Ewha Womans University,Country_KR
601-956,Federal University of Rio Grande do Sul,Country_BR
601-956,Federal University of Santa Catarina,Country_BR
601-936,Florida International University,United States
601-667,Georgia State University,United States
601-922,Graz University of Technology,Country_AT
601-442,Henan University of Science and Technology,China
601-385,Homi Bhabha National Institute,Country_IN
601-637,Hong Kong Baptist University,Country_HK
601-523,Hunan Normal University,China
601-928,Indian Institute of Technology Delhi,Country_IN
601-928,Indian Institute of Technology Kanpur,Country_IN
601-209,INHA University,Country_KR
601-073,Kansas State University,United States
601-451,Khalifa University,Country_AE
601-686,Lanzhou University of Technology,China
601-625,Lebanese American University,Country_LB
601-177,Liverpool John Moores University,United Kingdom
601-091,Mahidol University,Country_TH
601-866,Manchester Metropolitan University,United Kingdom
601-865,Mansoura University,Country_EG
601-476,Marche Polytechnic University,Italy
601-313,Mississippi State University,United States
601-179,Moscow Institute of Physics and Technology,Country_RU
601-690,Nantong University,China
601-486,Naval Medical University,China
601-655,Northeast Forestry University,China
601-029,Polytechnic University of Madrid,Country_ES
601-029,Polytechnic University of Turin,Italy
601-984,Qilu University of Technology,China
601-637,Qingdao University of Science & Technology,China
601-970,Rensselaer Polytechnic Institute,United States
601-802,Rush University,United States
601-122,Saveetha Institute of Medical and Technical Sciences (Deemed to be University),Country_IN
601-337,Semmelweis University,Country_HU
601-436,Shandong First Medical University,China
601-129,Shanghai Normal University,China
601-857,Shanghai Ocean University,China
601-224,Southwest Petroleum University,China
601-417,Taif University,Country_SA
601-406,Taiyuan University of Technology,China
601-440,Technical University of Braunschweig,Germany
601-440,Technical University of Dortmund,Germany
601-520,Thomas Jefferson University,United States
601-355,Università Della Svizzera Italiana,Switzerland
601-192,University of Alicante,Country_ES
601-529,University of Augsburg,Germany
601-044,University of Burgundy Europe,France
601-234,University of Delhi,Country_IN
601-938,University of Eastern Finland,Country_FI
601-955,University of Ferrara,Italy
601-047,University of Graz,Country_AT
601-785,University of Haifa,Country_IL
601-154,University of Health Sciences Turkey,Country_TR
601-118,University of Iceland,Country_IS
601-641,University of KwaZulu-Natal,Country_ZA
601-366,University of Louisville,United States
601-924,University of Luxembourg,Country_LU
601-872,University of Malaya,Country_MY
601-544,University of Murcia,Country_ES
601-479,"University of Natural Resources and Life Sciences, Vienna",Country_AT
601-379,University of New Hampshire,United States
601-576,University of North Texas,United States
601-323,University of Oldenburg,Germany
601-556,University of Oviedo,Country_ES
601-247,University of Salerno,Italy
601-430,University of Siena,Italy
601-178,University of Southern Queensland,Australia
601-587,University of Toledo,United States
601-662,University of Trieste,Italy
601-928,University of Wyoming,United States
601-175,University of Zagreb,Country_HR
601-569,University Rovira i Virgili,Country_ES
601-529,Wayne State University,United States
601-681,Xinjiang University,China
601-794,York University,Canada
601-655,Zhejiang Chinese Medical University,China
601-106,Zhejiang Normal University,China
701-228,Al-Azhar University,Country_EG
701-587,Anhui Agricultural University,China
701-332,Ankara University,Country_TR
701-024,Army Medical University,China
701-674,Beijing University of Posts and Telecommunications,China
701-437,Bielefeld University,Germany
701-775,Brigham Young University,United States
701-074,China Pharmaceutical University,China
701-874,Chongqing University of Posts and Telecommunications,China
701-565,Chung-Ang University,Country_KR
701-214,Chungbuk National University,Country_KR
701-820,Chungnam National University,Country_KR
701-195,"City St George’s, University of London",United Kingdom
701-446,COMSATS University Islamabad,Country_PK
701-746,Copenhagen Business School,Country_DK
701-956,Federal University of Parana,Country_BR
701-956,Federal University of Santa Maria,Country_BR
701-956,Federal University of Sao Paulo,Country_BR
701-125,Gachon University,Country_KR
701-031,Guangxi Normal University,China
701-175,Hacettepe University,Country_TR
701-000,Hallym University,Country_KR
701-221,Harbin Medical University,China
701-092,Hebei Medical University,China
701-214,Henan Normal University,China
701-258,Heriot-Watt University,United Kingdom
701-917,Hubei University,China
701-739,Humanitas University,Italy
701-928,Indian Institute of Technology Madras,Country_IN
701-931,Istanbul University Cerrahpasa,Country_TR
701-457,Jeonbuk National University,Country_KR
701-290,Jiangxi Normal University,China
701-196,Kangwon National University,Country_KR
701-336,Kent State University,United States
701-853,Kindai University,Japan
701-105,King Fahd University of Petroleum and Minerals,Country_SA
701-588,Kitasato University,Japan
701-754,Koc University,Country_TR
701-295,Lulea University of Technology,Country_SE
701-673,Memorial University of Newfoundland,Canada
701-799,National Taiwan University of Science and Technology,Country_TW
701-637,National University of Malaysia,Country_MY
701-326,Northumbria University,United Kingdom
701-868,North-West University,Country_ZA
701-233,Norwegian University of Life Sciences,Country_NO
701-458,NOVA University Lisbon,Country_PT
701-428,Oklahoma State University,United States
701-613,Palacký University Olomouc,Country_CZ
701-000,Paris-East Créteil University,France
701-029,Polytechnic University of Catalonia,Country_ES
701-106,Prince Sattam Bin Abdulaziz University,Country_SA
701-193,Scuola Normale Superiore - Pisa,Italy
701-585,Shantou University,China
701-775,Shanxi Medical University,China
701-960,Shinshu University,Japan
701-547,Southern Methodist University,United States
701-160,Southwestern University of Finance and Economics,China
701-623,SRM Institute of Science & Technology,Country_IN
701-797,Stockholm School of Economics,Country_SE
701-190,SUNY Downstate Health Sciences University,United States
701-345,Suzhou University of Science and Technology,China
701-798,Swansea University,United Kingdom
701-043,Tarbiat Modares University,Country_IR
701-117,"The University of Alabama, Tuscaloosa",United States
701-478,The University of Texas at Arlington,United States
701-478,The University of Texas at San Antonio,United States
701-025,The University of Waikato,Country_NZ
701-543,Tiangong University,China
701-472,Tianjin University of Technology,China
701-519,Tilburg University,Netherlands
701-571,United Arab Emirates University,Country_AE
701-135,University at Albany,United States
701-019,University of Alcala,Country_ES
701-767,University of Brasília,Country_BR
701-230,University of Calabria,Italy
701-190,University of Cantabria,Country_ES
701-085,University of Clermont Auvergne,France
701-353,University of Extremadura,Country_ES
701-343,University of Greenwich,United Kingdom
701-563,University of Jinan,China
701-260,University of Jyvaskyla,Country_FI
701-626,University of La Laguna,Country_ES
701-309,University of Limerick,Country_IE
701-860,University of Mannheim,Germany
701-207,"University of Maryland, Baltimore County",United States
701-743,University of Palermo(Italy),Italy
701-203,University of Plymouth,United Kingdom
701-402,University of Quebec Montreal,Canada
701-967,"University of Science, Malaysia",Country_MY
701-689,University of Sherbrooke,Canada
701-920,University of South China,China
701-516,University of Stirling,United Kingdom
701-034,University of Strathclyde,United Kingdom
701-349,University of the Balearic Islands,Country_ES
701-491,University of the Punjab,Country_PK
701-310,Waseda University,Japan
701-321,Wuhan Institute of Technology,China
701-057,Wuhan University of Science and Technology,China
701-577,Xiangtan University,China
701-643,Xuzhou Medical University,China
801-680,AGH University of Krakow,Country_PL
801-112,Anhui Normal University,China
801-964,Augusta University,United States
801-730,"Birkbeck, University of London",United Kingdom
